Tag A,Tag B,Similitud_Coseno_Prob_Topicos
Campo De Mayo,Globos De Oro,0.881
Campo,Ley Bases,0.881
Cambio Climático,Cop26,0.881
Cine,Pedro Almodóvar,0.881
Juventudes,Unsam,0.881
Claudia Sheinbaum,Feminismo Negro,0.881
Claudia Sheinbaum,Interseccionalidad,0.881
Ahoraen,Grupo Clarín,0.881
Juegos Olímpicos Paris 2024,Juventudes,0.881
Juan Grabois,Ley Bases,0.881
Falsas Denuncias,Nahir Galarza,0.881
Alberto Fernández,Política,0.881
Doble Femicidio,Nahir Galarza,0.881
Día Internacional De La Eliminación De La Violencia Contra Las Mujeres,Orgullo,0.881
Casa Rosada,Festival Anfibio,0.881
Kirchnerismo,Randazzo,0.881
La Columna De Zambra,Literatura,0.881
Causa Andis,Ley Omnibus,0.881
Economía,Wall Street,0.881
Breaking Bad,House Of The Dragon,0.881
Breaking Bad,Game Of Thrones,0.881
Ley Ómnibus,Liberalismo,0.881
El País,Un Año De Milei,0.881
Ley Bases,Retenciones,0.881
Nahir Galarza,Varones Unidos,0.881
América Latina,Desigualdad,0.881
Amplify,Copia,0.881
Nahir Galarza,Pablo Lautra,0.881
Liberalismo,Patricia Bullrich,0.881
Liberalismo,Milei,0.881
Financiamiento Narco,Ley Omnibus,0.881
Ba,Sequía,0.881
Better Call Saul,House Of The Dragon,0.881
Better Call Saul,Game Of Thrones,0.881
Ba,Monterrey,0.881
Elecciones Legislativas 2021,Federalismo,0.881
Amplify,Galpon Face,0.881
Anticomunismo,Randazzo,0.881
María Eugenia Vidal,Política,0.881
Asociación Del Fútbol Argentino,Fútbol Femenino,0.881
Ba,Instituto Llilas,0.881
Artesdigitales,Copia,0.881
Artesdigitales,Galpon Face,0.881
Elecciones 2023,Lunes Negro,0.881
Memoria Trans,Punitivismo,0.881
Masculinidades,Vínculos,0.881
Gobernadores,Lavagna,0.881
$Libra,Ley Ómnibus,0.881
Denuncias,Nahir Galarza,0.881
$Libra,Manuel Adorni,0.881
Tango,Testimonios,0.881
Scaloneta,Tenis,0.88
3J,Memoria Trans,0.88
A 20 Años Del Estallido,Elites,0.88
Democracia,Feminismo Negro,0.88
Teatro,Testosterona,0.88
Feminismo Negro,Unsam,0.88
Estallido En Chile,Rechazo,0.88
2001,Democracia,0.88
Nancy Fraser,Silvina Batakis,0.88
Causa Andis,Manuel Adorni,0.88
Crueldad,Elecciones 2023,0.88
Escuela De Política Y Gobierno,Sergio Massa,0.88
Derechas,Gobernadores,0.88
Hbo,Tecnologías De Género,0.88
Arte,Mutek,0.88
Afectos,Cancelación,0.88
Afectos,Furia Travesti,0.88
Afectos,Terf,0.88
8M: Paro Internacional Y Plurinacional De Mujeres Y Disidencias,Menopausia,0.88
Manuel Adorni,Presupuesto 2025,0.88
Manuel Adorni,Populismo,0.88
Arte,Artesdigitales,0.88
A 20 Años Del Estallido,Peronismo,0.88
Derechas,Patricia Bullrich,0.88
Agronegocios,Nacionalismo,0.88
El Salvador,Piñera,0.88
Paso,Randazzo,0.88
Comedores Comunitarios,Cristina Fernández De Kirchner,0.88
Comedores Comunitarios,Neoliberalismo,0.88
Comunicación Política,Cristina Fernández De Kirchner,0.88
Discursos De Odio,Julia Mengolini,0.88
Alberto Fernández,Fallo Contra Cfk,0.88
Interseccionalidad,Unsam,0.88
Convención Constituyente,Sebastián Piñera,0.88
Inteligencia Artificial,Tecnoceno,0.88
Amplify,Arte,0.88
Femicidios,Violencia De Género,0.88
Mexico,Trump,0.88
El Salvador,Martín Guzmán,0.88
Colombia,Política,0.88
Axel Kicillof,Marxismo,0.88
Federalismo,Progresismo,0.88
Campo,Nacionalismo,0.88
Caba,Santa Fe,0.88
Lavagna,Santa Fe,0.88
Estallido En Chile,Partidos Políticos,0.88
Cupo Laboral Trans,Violencia De Género,0.88
Democracia,Interseccionalidad,0.88
Democracia,Marxismo,0.88
Euphoria,Pakapaka,0.88
Córdoba,Ecología,0.88
Ley Bases,Provincias,0.88
Elites,Venezuela,0.88
Justicia,Poder Judicial,0.88
Elecciones Legislativas 2021,Silvina Batakis,0.88
Discursos De Odio,Discursos Odio,0.88
Discursos De Odio,Fake News,0.88
Ciudad Futura,Santa Fe,0.88
Alejandro Zambra,Caparros,0.88
Fascismo,Progresismo,0.88
Financiamiento Narco,Manuel Adorni,0.88
Energía,Hidrógeno Verde,0.88
Paro General,Sindicalismo,0.88
Encuesta De Qué Viven,Violencia De Género,0.88
Claudia Sheinbaum,Progresismo,0.88
Juan Grabois,Patricia Bullrich,0.88
Nacionalismo,Retenciones,0.88
Murakami,Series,0.88
Pakapaka,Zendaya,0.88
Ahoraen,Reality,0.88
Alimentación,Escuela Idaes,0.88
Alemania,Partido Republicano,0.88
Caparros,Feria Del Libro,0.88
Transición Energética,Ypf,0.879
Cuidados,Identidades No Binarias,0.879
3J,Punitivismo,0.879
#Blacklivesmatter,Drogas,0.879
Comunicación Política,Juntos Por El Cambio,0.879
Crisis Climática,Ypf,0.879
Crisis Climática,Ola Polar,0.879
Artes,Mutek,0.879
Artes,Artesdigitales,0.879
Desigualdad,Ecuador,0.879
Crimen,Rugbiers,0.879
Abuelas De Plaza De Mayo,Dictadura,0.879
Elecciones 2023,Movimientos Sociales,0.879
Géneros,Higui,0.879
Posguerra,Vih/Sida,0.879
Femicidios,Violencias,0.879
Guyana,Venezuela,0.879
Melisa Zulberti,Vih/Sida,0.879
Elecciones 2023,Izquierdas,0.879
Democracia,Frente De Todos,0.879
Cuidados,Orgullo,0.879
Progresismo,Un Año De Milei,0.879
Adorni,Hipersticion,0.879
Anticomunismo,Crueldad,0.879
Antipolítica,Juntos Por El Cambio,0.879
Desarrollo,Energía Atómica,0.879
Italia,Juan Román Riquelme,0.879
Adorni,Culturahype,0.879
Política,Wado De Pedro,0.879
Discurso,Juntos Por El Cambio,0.879
Amplify,Artes,0.879
Lionel Messi,Pelé,0.879
Alberto Fernández,La Libertad Avanza,0.879
Ola Polar,Transición Energética,0.879
Ciudad Futura,María Eugenia Vidal,0.879
Ciudad Futura,O Sea Digamos,0.879
Alberto Fernández,Democracia,0.879
Agua,Inundación,0.879
Agua,Bahía Blanca,0.879
Moria Casán,Zapping Cultural,0.879
Movimiento,Vih/Sida,0.879
Ferrocarriles,Gobierno,0.879
El Salvador,Sergio Massa,0.879
Fallo Contra Cfk,Progresismo,0.879
America Latina,Marxismo,0.879
Juventudes,Onlyfans,0.879
Juntos Por El Cambio,Sin Control 2,0.879
Ley Bases,Libertarios,0.879
Leandro Santoro,Ucr,0.879
Leandro Santoro,Llaryora,0.879
La Columna De Zambra,Paco Ignacio Taibo Ii,0.879
Cfk,Paso,0.879
Carry Trade,Fondos Buitre,0.879
Día Internacional De La Eliminación De La Violencia Contra Las Mujeres,Vínculos,0.879
Ecuador,Violencia Institucional,0.879
Leandro Santoro,Pacto De Mayo,0.879
Netflix,Pedro Almodóvar,0.879
Gobierno,Trenes Argentinos,0.879
Gobierno,Trenes,0.879
Ley Bases,Sin Control 2,0.879
Danza,Vih/Sida,0.879
Estado Laico,Iglesia Católica,0.878
Martín Guzmán,Xiomara Castro,0.878
Gobernadores,Javier Milei,0.878
Gobernadores,Ley Ómnibus,0.878
Elecciones 2023,Patricia Bullrich,0.878
Angela Merkel,Santa Fe,0.878
Cuerpos,Performance,0.878
Géneros,Sex And The City,0.878
A 20 Años Del Estallido,Frente De Todos,0.878
Antipolítica,Marxismo,0.878
Lavagna,Paso,0.878
Campo,Comedores Comunitarios,0.878
Ecuador,Patricia Bullrich,0.878
Escuela Idaes,Progresismo,0.878
Marcos Peña,Política,0.878
Anticomunismo,Kirchnerismo,0.878
Cristina Fernández De Kirchner,Leandro Santoro,0.878
Liberalismo,Neoliberalismo,0.878
Elecciones 2023,Populismo,0.878
Elecciones 2023,Presupuesto 2025,0.878
Amistad,Géneros,0.878
Premios Oscar,Tecnologías De Género,0.878
Anticomunismo,Gobernadores,0.878
Bolivia,Nicaragua,0.878
Encuesta De Qué Viven,Feminismos,0.878
Alemania,Piñera,0.878
Alemania,Internacional,0.878
Alfabetismos Aumentados,Despidos,0.878
Alemania,Ucr,0.878
Elites,Escuela De Política Y Gobierno,0.878
Nicaragua,Perfil Político,0.878
Kirchnerismo,Progresismo,0.878
Kirchnerismo,Movilización,0.878
Honduras,Martín Guzmán,0.878
Desarrollo,Ypf,0.878
Desarrollo,Ola Polar,0.878
Crisis,Derechas,0.878
Patricia Bullrich,Protesta Social,0.878
Agronegocios,Comedores Comunitarios,0.878
Perfil Político,Un Año De Milei,0.878
Axel Kicillof,Nacionalismo,0.878
Constitución,Iglesia Católica,0.878
Javier Milei,Nacionalismo,0.878
Comedores Comunitarios,Perfil Político,0.878
Comedores Comunitarios,Retenciones,0.878
8M,Violencia De Género,0.878
Bloquons Tout,Ley Bases,0.878
Moria Casán,Teatro,0.878
Discursos De Odio,Juegos Olímpicos Paris 2024,0.878
El Salvador,Marxismo,0.878
Ajuste,Ley Bases,0.878
Alberto Fernández,America Latina,0.878
Derecho A La Desconexión,Despidos,0.878
Bolivia,Daniel Ortega,0.878
Bolivia,Ecuador,0.878
Angela Merkel,Elecciones 2023,0.878
America Latina,Frente De Todos,0.878
Oficialismo,Venezuela,0.878
Alberto Fernández,Juan Grabois,0.878
Botánica,La Columna De Zambra,0.878
Nacionalismo,O Sea Digamos,0.878
Frente De Izquierda,Gustavo Petro,0.878
Encuesta De Qué Viven,Testimonios,0.878
Ciudad Futura,Lavagna,0.878
Ciudad Futura,Nancy Fraser,0.878
Derechos Sociales,Ley Bases,0.878
Cordobesismo,Jorge Macri,0.878
Corrupción,Cristina Fernández De Kirchner,0.878
Derechas,Karina Milei,0.878
Ley Bases,Politicas Económicas,0.878
Cupo Laboral Trans,Feminismos,0.878
Derechas,Leandro Santoro,0.878
Tenis,Viajes,0.878
Democracia,Neoliberalismo,0.878
Daniel Ortega,Perfil Político,0.878
Cupo Laboral Trans,Testimonios,0.878
Gas,Venezuela,0.878
Mauricio Macri,Pro,0.878
Naturaleza,Plástico,0.878
Puente Rosario Victoria,Teatro,0.877
Ley Ómnibus,Paro General,0.877
Leandro Santoro,Presupuesto 2025,0.877
Manuel Adorni,Milei,0.877
G20,Venezuela,0.877
Campo De Mayo,Zapping Cultural,0.877
Sergio Massa,Tucumán,0.877
2001,Violencia Institucional,0.877
Derechas,Hegemonía,0.877
Crónica,Paco Ignacio Taibo Ii,0.877
Ambiente,Cristina Dorador,0.877
Leandro Santoro,Populismo,0.877
Bolivia,Progresismo,0.877
Ambiente,Zonas De Sacrificio,0.877
Marcos Peña,Unión Por La Patria,0.877
Estado Laico,Papa Francisco,0.877
Punitivismo,Vínculos,0.877
Cristina Fernández De Kirchner,Libertarios,0.877
Costa Salguero,Cumbia Villera,0.877
Corrupción,Criptogate,0.877
Feminismo Negro,Política,0.877
Elecciones 2023,Martín Guzmán,0.877
Derechas,Ecuador,0.877
El País,La Libertad Avanza,0.877
24M: Día De La Memoria Por La Verdad Y La Justicia,Fernando Báez Sosa,0.877
Estados Unidos,Guerra De Aranceles,0.877
Cop26,Ola Polar,0.877
Constitución,Papa Francisco,0.877
Cop26,Ypf,0.877
Lgbttinb+,Un Año De Milei,0.877
Liberalismo,Movimientos Sociales,0.877
Amor,Barbie,0.877
Crisis,Politicas Económicas,0.877
Cristina Fernández De Kirchner,Democracia,0.877
Luis Majul,Tiktok,0.877
Los Anteúltimos,San Martín,0.877
Crisis Climática,Energía,0.877
Angela Merkel,Patricia Bullrich,0.877
Petróleo,Vaca Muerta,0.877
Ajuste,Crisis,0.877
El Salvador,La Libertad Avanza,0.877
Frente De Todos,Jorge Macri,0.877
Comedores Comunitarios,Juntos Por El Cambio,0.877
El Salvador,Vialidad,0.877
Bloquons Tout,Crisis,0.877
Frente De Izquierda,Santa Fe,0.877
Libertad,Progresismo,0.877
Obra Pública,Teatro,0.877
Hijos De Represores,Patriarcado,0.877
Ciudad Futura,Izquierdas,0.877
Menopausia,Testimonios,0.877
Mercado Libre,Trabajo,0.877
Crisis,Derechos Sociales,0.877
Interseccionalidad,Política,0.877
América Latina,Gustavo Petro,0.877
Corrupción,Ley Bases,0.877
Crisis Climática,Desarrollo,0.877
La Casona Iluminada,Teatro,0.876
2001,Ecuador,0.876
8M,Masculinidades,0.876
Teatro,Teatro Bombón,0.876
Encuesta De Qué Viven,Masculinidades,0.876
Gobernadores,Izquierdas,0.876
Feminismo Negro,Liberalismo,0.876
Capitalismo Digital,Teletrabajo,0.876
Canal De Panamá,Cosas Que Funcionan,0.876
Marxismo,Xiomara Castro,0.876
Elecciones,Leandro Santoro,0.876
Liberalismo,Populismo,0.876
Liberalismo,Presupuesto 2025,0.876
Juntos Por El Cambio,Ley Bases,0.876
Liberalismo,Política Exterior,0.876
Alberto Fernández,Elites,0.876
Hipersticion,Libertarios,0.876
Afectos,Feminismos Afro,0.876
Derechas,Ucr,0.876
Política,Un Año De Milei,0.876
América Latina,Nancy Fraser,0.876
Breaking Bad,Pedro Pascal,0.876
México,Violencias,0.876
Discapacidad,Leda-Unsam,0.876
Jorge Macri,Liberalismo,0.876
Cristina Fernández De Kirchner,Crueldad,0.876
Asociación Del Fútbol Argentino,Mundial Femenino De Fútbol,0.876
Alberto Fernández,Federalismo,0.876
El Salvador,Juntos Por El Cambio,0.876
Beca Crónica,Cosas Que Funcionan,0.876
Better Call Saul,The Last Of Us,0.876
El Salvador,Provincias,0.876
Better Call Saul,Pedro Pascal,0.876
Pantallas,Plataformas,0.876
Papa Francisco,Paraguay,0.876
Claudia Sheinbaum,María Eugenia Vidal,0.876
Jorge Macri,Santa Fe,0.876
Juan Grabois,Movimientos Sociales,0.876
Comedores Comunitarios,Hegemonía,0.876
Honduras,Marxismo,0.876
Crisis 2001,Ecuador,0.876
Derechos Humanos,Femicidios,0.876
Movimientos Sociales,Sindicalismo,0.876
Comunicación Política,Unión Por La Patria,0.876
Comunidad Anfibia,Teatro,0.876
Afectos,Bell Hooks,0.876
Interseccionalidad,Liberalismo,0.876
Axel Kicillof,Izquierdas,0.876
Angela Merkel,Nicolas Maduro,0.876
Gustavo Petro,Patricia Bullrich,0.876
Culturahype,Libertarios,0.876
Gastronomía,Los Anteúltimos,0.876
San Martín,Vivienda,0.876
Cosas Que Funcionan,Resistencia,0.876
Cosas Que Funcionan,Desplazados,0.876
Breaking Bad,The Last Of Us,0.876
Cupo Laboral Trans,Masculinidades,0.876
Tecnología Y Sociedad,Vacunas,0.875
Elecciones Legislativas 2021,Unión Por La Patria,0.875
Amazon Prime,Tecnologías De Género,0.875
Anses,Unsam,0.875
Anses,Progresismo,0.875
Maternidades,Nora Dalmasso,0.875
Cuerpo,Tanatopraxia,0.875
24M: Día De La Memoria Por La Verdad Y La Justicia,Memoria,0.875
Corrupción,El País,0.875
Corrupción,Pacto De Mayo,0.875
Corrupción,Llaryora,0.875
Identidades No Binarias,Sex And The City,0.875
Criptogate,Libertarios,0.875
Derechos Humanos,Narcotráfico,0.875
Ba,Crónicas,0.875
Elecciones Legislativas 2021,Giorgia Meloni,0.875
Encuestas,Inteligencia Artificial,0.875
Dictadura,Memoria,0.875
Cordobesismo,Escuela De Política Y Gobierno,0.875
Deuda,Sistema Bancario,0.875
Izquierdas,Venezuela,0.875
Fallo Contra Cfk,Frente De Todos,0.875
Agronegocios,Peronismo,0.875
Atentado A Cristina,Ecuador,0.875
Anabólicos,Tanatopraxia,0.875
Jorge Macri,Mauricio Macri,0.875
Comedores Comunitarios,El Salvador,0.875
Comedores Comunitarios,Kirchnerismo,0.875
Murgas,Palermo,0.875
Amistad,Identidades No Binarias,0.875
Clases Medias,Posguerra,0.875
América Latina,Democracia,0.875
Angela Merkel,Derechas,0.875
Migración,Racismo,0.875
Messi,Tenis,0.875
Política Exterior,Unión Por La Patria,0.875
Politica Exterior,Venezuela,0.875
Peronismo,Retenciones,0.875
Adorni,Ley Omnibus,0.875
Derechas,Tucumán,0.875
Ciudad Futura,Política,0.875
Clases Medias,Movimiento,0.875
Clases Medias,Melisa Zulberti,0.875
Clases Medias,Danza,0.875
Elecciones Legislativas 2021,Provincias,0.875
Ciudad Futura,Corrupción,0.875
Fascismo,Nancy Fraser,0.875
Alberto Fernández,Patricia Bullrich,0.875
Alemania,Cordobesismo,0.875
Ciudad Futura,Comedores Comunitarios,0.875
Hijos De Represores,Memoria,0.875
Higui,Masculinidades,0.875
Cristina Fernández De Kirchner,Movilización,0.875
A 20 Años Del 2001,Progresismo,0.875
Chat Gpt,Side,0.875
Chat Gpt,Santiago Caputo,0.875
Chat Gpt,Inteligencia,0.875
Bolivia,Surinam,0.875
Lgbtiq+,Violencias,0.875
Boric,Sebastián Piñera,0.875
Alemania,Patricia Bullrich,0.875
Amazon Prime,Breaking Bad,0.875
Amazon Prime,Better Call Saul,0.875
Duelos,Maternidades,0.875
Karina Milei,Política Exterior,0.875
Nancy Fraser,Piñera,0.875
Federalismo,Manuel Adorni,0.875
Cambio Climático,Recursos Naturales,0.875
Campo,Peronismo,0.875
Carnaval,Palermo,0.875
Casa Rosada,Pensamiento Contemporáneo,0.875
Arteba,Artlab,0.875
Crónica,Ficción,0.875
Géneros,Memoria Trans,0.875
8M,Cuidados,0.875
Tanatopraxia,Varones Gays,0.875
Estallido,G20,0.875
Giorgia Meloni,Peronismo,0.875
Tucumán,Unión Por La Patria,0.874
Transición Energética,Vaca Muerta,0.874
Censo,Discursos De Odio,0.874
Estallido En Chile,Piñera,0.874
Caparros,Pizarnik,0.874
Rosario,Violencias,0.874
24M: Día De La Memoria Por La Verdad Y La Justicia,Sistema Penal,0.874
7M,Proceso Constituyente,0.874
3J,Crisis 2001,0.874
8M: Paro Internacional Y Plurinacional De Mujeres Y Disidencias,Identidades No Binarias,0.874
Ecuador,Honduras,0.874
Juntos Por El Cambio,Un Año De Milei,0.874
Leda-Unsam,Liberalismo,0.874
Giorgia Meloni,Nancy Fraser,0.874
Caba,Elecciones 2023,0.874
Ecuador,Xiomara Castro,0.874
Discursos De Odio,Identidad De Género,0.874
Dillom,Fito Páez,0.874
Comedores Comunitarios,Leda-Unsam,0.874
Guyana,Internacional,0.874
Escuela De Política Y Gobierno,María Eugenia Vidal,0.874
Gustavo Petro,Marxismo,0.874
El Salvador,Elites,0.874
Pro,Randazzo,0.874
Fito Páez,Horrorcore,0.874
Gustavo Petro,Ucr,0.874
Bolivia,Patricia Bullrich,0.874
Bukele,Gustavo Petro,0.874
El Salvador,Federalismo,0.874
Gastronomía,K-Pop,0.874
Discurso,Juan Grabois,0.874
Derechas,Milei,0.874
24M: Día De La Memoria Por La Verdad Y La Justicia,Edad De Punibilidad,0.874
Angela Merkel,Anticomunismo,0.874
Industria Textil,Trabajo,0.874
Alemania,Italia,0.874
Elecciones Legislativas 2021,Participación Ciudadana,0.874
Criptogate,Liberalismo,0.874
Cepo,Trabajo,0.874
Democracia,Racismo,0.874
Criptogate,Derechas,0.874
#Niunamenos,Lenguaje Inclusivo,0.874
Elecciones Legislativas 2021,Gobierno Abierto,0.874
Cfk,Gustavo Petro,0.874
Corea Del Sur,Gastronomía,0.874
Elecciones,Paso,0.874
Conflictos Territoriales,Jujuy,0.874
Fuerzas De Seguridad,Lgbttinb+,0.874
Elecciones 2023,Manuel Adorni,0.874
María Eugenia Vidal,Progresismo,0.874
Cristina Fernández De Kirchner,Francia Márquez,0.874
Anticomunismo,Patricia Bullrich,0.874
Arte Digital,Danza,0.874
Elecciones,Mauricio Macri,0.874
Antipolítica,Elecciones Legislativas 2021,0.874
Atentado A Cristina,Leda-Unsam,0.874
Arte Digital,Movimiento,0.874
Arte Digital,Posguerra,0.874
Arte Digital,Melisa Zulberti,0.874
Economía,Retenciones,0.873
Performance,Posguerra,0.873
Libertarios,Perfil Político,0.873
Jorge Macri,Libertad,0.873
Ley Omnibus,Provincias,0.873
Presupuesto 2025,Tucumán,0.873
A 20 Años Del 2001,Marxismo,0.873
El País,Ley Omnibus,0.873
Atentado A Cristina,Discursos Odio,0.873
Melisa Zulberti,Performance,0.873
Atentado A Cristina,Julia Mengolini,0.873
El Ultimo Rincon De Sudamerica,El Último Rincón De Sudamérica,0.873
Atentado A Cristina,Fake News,0.873
Antisemitismo,Guerra,0.873
Agronegocios,Progresismo,0.873
Arte Ciencia Y Tecnoceno,Narrativas,0.873
Martín Guzmán,Sergio Massa,0.873
Danza,Performance,0.873
América Latina,Elites,0.873
Femicidio,Hijos De Represores,0.873
Cosas Que Funcionan,Raza,0.873
Cosas Que Funcionan,Jerarquías Sociales,0.873
Cosas Que Funcionan,Género,0.873
#Eaaf,Desaparecidos,0.873
Interseccionalidad,Marxismo,0.873
Moria Casán,Pedro Almodóvar,0.873
Anticomunismo,Corrupción,0.873
Cordobesismo,Paso,0.873
Cristina Fernández De Kirchner,Gustavo Petro,0.873
Higui,Lgbtiq+,0.873
Desaparecidos,Familiares,0.873
Desaparecidos,La Perla,0.873
Movimiento,Performance,0.873
Feminismos,Violencia De Género,0.873
Elecciones,Javier Milei,0.873
Feminismo Negro,Marxismo,0.873
Agronegocios,Economía,0.873
2001 | Unsam,3J,0.873
Caba,Elecciones Legislativas 2021,0.873
Giorgia Meloni,María Eugenia Vidal,0.873
Lgbt,Orgullo,0.873
Claudia Sheinbaum,Política,0.873
Libertad,Tucumán,0.873
Periodismo Performático,Testosterona,0.873
Jubilados,Un Año De Milei,0.873
A 20 Años Del Estallido,Anses,0.873
Géneros,Nahir Galarza,0.873
Juan Grabois,Karina Milei,0.873
Política,Seguridad,0.873
El País,Paro General,0.873
Bukele,Elites,0.873
Punitivismo,Shakespeare,0.873
Populismo,Tucumán,0.873
Progresismo,Retenciones,0.873
Economía,Silvina Batakis,0.873
Lavagna,Martín Guzmán,0.873
Campo,Economía,0.873
Folklore,Luis Alberto Spinetta,0.873
2X1 A Genocidas,Lawfare,0.873
Campo,Progresismo,0.873
Derecha,Papa Francisco,0.873
#Viajosola,Identidad Trans,0.873
Derechas,Francia Márquez,0.872
Lgbtiq+,Nahir Galarza,0.872
Discapacidad,Visibilidad Lésbica,0.872
Ambientalismo,Guyana,0.872
Hostigamiento Digital,Suicidios,0.872
Cepo,Sindicalismo,0.872
Crisiis Climática,Tecnoceno,0.872
Horacio Rodríguez Larreta,Participación Ciudadana,0.872
Incendios Forestales,Inundación,0.872
Elecciones Legislativas 2021,Retenciones,0.872
America Latina,Elecciones Legislativas 2021,0.872
Anabólicos,Anfibia Papel,0.872
Alemania,Cristina Fernández De Kirchner,0.872
Femicidio,Patriarcado,0.872
Anfibia Papel,Cuerpo,0.872
Crisis,Inflación,0.872
Fascismo,Nicolas Maduro,0.872
Elites,G20,0.872
Alejandro Zambra,Gabriel García Márquez,0.872
Antisemitismo,Palestina,0.872
Izquierdas,Sergio Massa,0.872
Cristina Fernández De Kirchner,Interseccionalidad,0.872
Discapacidad,Resiliencia,0.872
Agronegocios,Elecciones Legislativas 2021,0.872
Géneros,Triple Femicidio,0.872
Liberalismo,Ucr,0.872
Bolivia,Frente De Todos,0.872
Epistemología,Testosterona,0.872
Discurso,Tucumán,0.872
Discapacidad,Homofobia,0.872
Comedores Comunitarios,Criptogate,0.872
Jorge Macri,Manuel Adorni,0.872
Claudia Sheinbaum,Patricia Bullrich,0.872
Financiamiento Narco,La Libertad Avanza,0.872
El Salvador,Ucr,0.872
Ley Bases,Libertad,0.872
Ecuador,Liberalismo,0.872
Caba,Cordobesismo,0.872
Gobierno Abierto,Horacio Rodríguez Larreta,0.872
Campo,Elecciones Legislativas 2021,0.872
Disidencias Sexuales,Shakespeare,0.872
Disidencias Sexuales,Punitivismo,0.872
8M: Paro Internacional Y Plurinacional De Mujeres Y Disidencias,Cuidados,0.872
Francia Márquez,Lavagna,0.872
Derecha,Iglesia Católica,0.872
Estallido,Internacional,0.872
Causa Andis,La Libertad Avanza,0.872
Represión,Violencia Institucional,0.872
Sacrificadas,Zonas De Sacrificio,0.872
Campo,Deuda,0.872
Campo,O Sea Digamos,0.872
Abuso Sexual,Lgbtiq+,0.872
Campo,Marxismo,0.872
A 20 Años Del 2001,Elecciones 2023,0.872
Claudia Sheinbaum,Escuela De Política Y Gobierno,0.872
